,UNION POR LA PATRIA,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,PRINCIPIOS Y VALORES,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,MOVIMIENTO AL SOCIALISMO,FRENTE PATRIOTA FEDERAL,POLITICA OBRERA,PROYECTO JOVEN,FRENTE LIBER.AR,MOVIMIENTO DE ACCION VECINAL,UNION DEL CENTRO DEMOCRATICO
Buenos Aires,2831078,2567840,2161679,293601,97586,77614,41840,34729,32230,19974,19572,16439,15823,12795,7400
Catamarca,87513,44544,53778,2802,3530,81,1245,587,557,394,745,20,65,385,17
Chaco,216257,165721,180599,7710,8833,4232,6141,2264,2437,1490,2035,129,253,1211,21
Chubut,71830,76603,124030,10419,7587,3127,1926,1150,1959,905,1367,75,159,819,96
Ciudad Autónoma de Buenos Aires,397054,813264,299097,78014,15886,22233,3754,6186,7198,2715,4454,61,167,2691,2230
Corrientes,182658,213104,181456,6055,8929,3286,3770,2087,2686,969,1449,75,82,1358,43
Córdoba,177528,515456,688684,31135,564182,13784,4565,3413,3893,2867,2123,3635,3076,2471,61
Entre Ríos,232570,257263,176164,10036,9425,4901,1456,2255,1885,1643,1477,91,613,1238,52
Formosa,147592,68739,80753,2116,3208,94,1724,660,775,470,710,97,188,533,31
Jujuy,87314,100408,168142,28982,7215,2859,1598,1527,1124,905,1423,21,413,839,5
La Pampa,56934,57387,66280,3695,7504,1431,1000,749,1133,578,756,4,170,447,23
La Rioja,60160,38659,69607,1869,13371,434,723,363,564,432,426,10,69,336,484
Mendoza,175522,294077,466437,31452,13858,7305,15566,3816,3986,2588,3041,45,60,3416,101
Misiones,175370,122528,277899,8674,8610,4043,4740,1572,3704,3051,3054,107,436,1947,54
Neuquén,79024,91263,156147,18847,7038,4232,13064,1612,3053,1851,2024,0,0,1268,0
Río Negro,106258,84232,148437,13230,8232,3433,5013,1174,3128,27,2378,305,86,1767,21
Salta,155837,111009,318910,12335,12820,2194,8012,2540,1887,1363,3884,649,68,1282,47
San Juan,122284,117449,143858,5503,6896,1043,2838,2462,1130,1187,1251,17,145,961,5
San Luis,49314,66579,135471,3941,8263,1227,2769,1264,874,1127,987,39,220,803,27
Santa Cruz,38479,28111,52189,3294,3679,65,607,359,414,209,403,4,12,138,4
Santa Fe,386865,579867,646315,30845,67563,26307,5606,6693,5554,2406,3578,1916,4018,2288,1218
Santiago del Estero,280563,55912,142042,5606,7605,13,10260,1280,1644,790,1192,78,319,808,2
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",29600,21045,35697,2703,4315,1856,676,25,842,12,726,7,6,479,7
Tucumán,313085,206969,342681,16029,11302,2099,15445,3205,2971,2889,3349,46,514,1972,33
